# Research Activity Log

| Timestamp | Task | Tool | Status | Summary |
|---|---|---|---|---|
| 2026-04-05T08:34Z | TASK-2.8 | browser_navigate, browser_evaluate | COMPLETE | Extracted varainsiirtovero 1.5% for asunto-osake from vero.fi. Wrote Section 6 to synthesis. |
| 2026-04-05T08:34Z | TASK-2.9 | browser_navigate, browser_evaluate | COMPLETE | Extracted vuokratulon verotus: 30%/34% pääomatulovero, full deduction list (hoitovastike, pääomavastike if tuloutettu, repairs, insurance, travel). Wrote Section 7.1-7.3 to synthesis. |
| 2026-04-05T08:35Z | TASK-2.10 | browser_navigate, browser_evaluate | COMPLETE | Extracted luovutusvoitto rules: own-residence exemption (2yr own + 2yr live), hankintameno-olettama 20%/<10yr, 40%/≥10yr, loss deduction 5yr carryforward. Wrote Section 7.4 to synthesis. |
| 2026-04-05T08:37Z | TASK-2.6 | browser_navigate, browser_evaluate | COMPLETE | Extracted full Hypo March 2026 review: PKS -1.0% (2026), +3.0% (2027), continuous 3.5yr decline, -14% from peak, peaks not until 2030s. Wrote Section 10. |
| 2026-04-05T08:39Z | TASK-2.7 | browser_navigate, browser_evaluate | COMPLETE | Extracted PTT Feb 2026 forecast via Yle: Helsinki -1.4% (2026). Full table for 10 cities. Banks conflicting (+1 to +1.5%). Wrote Section 10. |
| 2026-04-05T08:42Z | TASK-2.11 | browser_navigate, browser_evaluate | COMPLETE | Extracted hoitovastike benchmarks: national €4.86/m²/kk, PKS €5.22, +4.1% in 2024. By building age table. Wrote Section 4. |
| 2026-04-05T08:42Z | TASK-2.12 | browser_navigate, browser_evaluate | COMPLETE | Extracted yhtiölaina mechanics from Asuntosalkunrakentaja: tuloutettu/rahastoitu distinction, 60% debt cap, tax advantages, risks. Wrote Section 5. |
| 2026-04-05T08:43Z | TASK-2.13 | browser_navigate, browser_evaluate | COMPLETE | Putkiremontti costs from Sustera: €50k/apartment avg, €500-1500/m², cost is per-bathroom not per-m². Risk assessment by building era. Wrote Section 9. |
| 2026-04-05T08:45Z | TASK-2.14 | browser_navigate, browser_evaluate | COMPLETE | Compiled university campus locations, neighborhood-campus proximity matrix for 23 candidate neighborhoods. Identified 8 top-priority neighborhoods for Phase 3 deep dives. Wrote Section 8. |
| 2026-04-05T08:50Z | TASK-3.1–3.10 | browser_navigate, browser_evaluate, Google search | COMPLETE | Compiled 8 detailed neighborhood profiles: Myllypuro (top pick, metro+Metropolia), Viikki (top pick, HY campus), Pihlajamäki, Länsi-Pasila, Länsi-Herttoniemi, Kontula/Itäkeskus, Käpylä, Pohjois-Haaga. Used Roof LKV, Kiinteistömaailma, Etuovi, AlueAvain, hel.fi safety data. Wrote Section 8.4–8.5. |
| 2026-04-05T08:52Z | TASK-4.1–4.4 | computation | COMPLETE | Computed gross yields (6.0–14.3%), net yields (3.9–8.1%), after-tax yields (3.2–5.6%). Built 2 worked examples: Myllypuro yksiö (5.3% after-tax, €54k reserve) and Myllypuro kaksio (3.7% after-tax, thin reserve). Monthly cash flow model for 5 scenarios. Wrote Section 3. |
| 2026-04-05T09:05Z | TASK-5.1–5.7 | browser_navigate, browser_evaluate, analysis | COMPLETE | Phase 5 cross-verification completed. Sale prices consistent (<3% Helsinki-wide, 16% Myllypuro range explained). Rental prices consistent. Transfer tax confirmed by 4 sources (Vero.fi, Nordea, Veronmaksajat, Vuokranantajat). Rental tax confirmed by 3 sources. Market forecasts: PTT+Hypo agree on 2026 decline; bank forecasts noted as potentially stale. 2 [SINGLE_SOURCE] flags retained with attribution. 15 URLs spot-checked, 13 fully accessible, 2 flagged (Veronmaksajat restructured, Vuokranantajat member-gated). Wrote Section 11. 5 new sources registered (#51–55). |
| 2026-04-05T09:15Z | TASK-6.1–6.5 | analysis, writing | COMPLETE | Phase 6 synthesis completed. Section 12: Ranked shortlist with 5-axis scoring — Myllypuro #1 (22/25), Viikki #2 (20/25), Pihlajamäki #3 (19/25). Section 13: Purchase process checklist (pre-search, viewing, due diligence, transaction, post-purchase). Executive Summary written (300+ words). Bibliography compiled (32 sources across 3 tiers). All 13 success criteria verified. |
| 2026-04-05T09:25Z | TASK-FINAL | writing | COMPLETE | Generated research_narrator_summary.md — ~3,500 words TTS-optimized narrative. Pure flowing prose, no tables/bullets/headers. All numbers spelled out. Technical terms explained inline. Covers: market context, neighborhood analysis (Myllypuro, Viikki, Pihlajamäki), vastike/putkiremontti explained, rental yield worked example, tax-free exit strategy, purchase process, warnings. Estimated reading time ~25 minutes. |
| 2026-04-05T09:25Z | RESEARCH | — | **ALL TASKS COMPLETE** | 44/44 tasks + TASK-FINAL completed. Research ledger marked COMPLETE. |

| Timestamp | Task ID | Action | Result | Notes |
|-----------|---------|--------|--------|-------|
